x-axis,1,2
second,Volt,Volt
+7.998300000E-03,+21.527638174593E+00,+8.984422536101E+00
+7.998305000E-03,+21.527638174593E+00,+8.989447661676E+00
+7.998310000E-03,+21.557788928039E+00,+8.974372284953E+00
+7.998315000E-03,+21.537688425742E+00,+8.949246657081E+00
+7.998320000E-03,+21.587939681485E+00,+8.999497912824E+00
+7.998325000E-03,+21.608040183783E+00,+8.999497912824E+00
+7.998330000E-03,+21.608040183783E+00,+8.999497912824E+00
+7.998335000E-03,+21.608040183783E+00,+8.984422536101E+00
+7.998340000E-03,+21.608040183783E+00,+8.984422536101E+00
+7.998345000E-03,+21.608040183783E+00,+9.029648666270E+00
+7.998350000E-03,+21.608040183783E+00,+9.064824545290E+00
+7.998355000E-03,+21.608040183783E+00,+9.079899922013E+00
+7.998360000E-03,+21.608040183783E+00,+9.079899922013E+00
+7.998365000E-03,+21.608040183783E+00,+9.054774294142E+00
+7.998370000E-03,+21.608040183783E+00,+9.079899922013E+00
+7.998375000E-03,+21.608040183783E+00,+9.014573289547E+00
+7.998380000E-03,+21.608040183783E+00,+9.039698917419E+00
+7.998385000E-03,+21.608040183783E+00,+9.009548163973E+00
+7.998390000E-03,+21.608040183783E+00,+8.994472787250E+00
+7.998395000E-03,+21.608040183783E+00,+8.999497912824E+00
+7.998400000E-03,+21.608040183783E+00,+8.999497912824E+00
+7.998405000E-03,+21.608040183783E+00,+8.999497912824E+00
+7.998410000E-03,+21.608040183783E+00,+9.024623540696E+00
+7.998415000E-03,+21.608040183783E+00,+9.009548163973E+00
+7.998420000E-03,+21.608040183783E+00,+8.999497912824E+00
+7.998425000E-03,+21.608040183783E+00,+8.974372284953E+00
+7.998430000E-03,+21.608040183783E+00,+8.919095903635E+00
+7.998435000E-03,+21.587939681485E+00,+8.904020526912E+00
+7.998440000E-03,+21.582914555911E+00,+8.898995401338E+00
+7.998445000E-03,+21.572864304762E+00,+8.909045652486E+00
+7.998450000E-03,+21.572864304762E+00,+8.873869773466E+00
+7.998455000E-03,+21.582914555911E+00,+8.888945150189E+00
+7.998460000E-03,+21.582914555911E+00,+8.919095903635E+00
+7.998465000E-03,+21.577889430337E+00,+8.919095903635E+00
+7.998470000E-03,+21.608040183783E+00,+8.919095903635E+00
+7.998475000E-03,+21.557788928039E+00,+8.919095903635E+00
+7.998480000E-03,+21.603015058208E+00,+8.914070778061E+00
+7.998485000E-03,+21.577889430337E+00,+8.853769271169E+00
+7.998490000E-03,+21.608040183783E+00,+8.858794396743E+00
